	FID	OBJECTID	AREA	PERIMETER	STATE	COUNTY	TRACT	CT_ID	LOGRECNO	BLK_COUNT	DRY_PCT	DRY_ACRES	DRY_SQMI	DRY_SQKM	SHAPE_AREA	SHAPE_LEN	HOODS_PD_I	Nbhd	NbhdCRM	NSA_ID_1	NSA_NAME	UniqueID	UniqueID_1	CT_ID_1	Nbhd_1	B19013_Med	WALKABILIT	Quality_of	TRACT-formatted
104	boston_income_73g.105	1140	558589.0	3390.965	25	25	100601	25025100601	15675	34	1.0	138.03	0.216	0.559	558590.5798	3390.963723	10	Dorchester	Dorchester	18	Neponset/Port Norfolk	0	105	25025100601.0	Dorchester	51948	4.509166	10.005837	100601
105	boston_income_73g.106	1144	982891.998	6204.3	25	25	100900	25025100900	15697	48	0.9848	239.19	0.374	0.968	982893.4654	6204.335997	10	Dorchester	Dorchester	20	W Codman Hill/W. Lower Mills	0	106	25025100900.0	Dorchester	59731	3.597799	12.795158	100900
106	boston_income_73g.107	1147	385343.393	2804.154	25	25	101101	25025101101	15714	20	1.0	95.22	0.149	0.385	385342.9763	2804.162534	1	Mattapan	Mattapan	44	Wellington Hill	0	107	25025101101.0	Mattapan	46195	4.387826	9.734146	101101
107	boston_income_73g.108	1150	1072027.565	6045.639	25	25	110200	25025110200	15731	17	0.9962	263.9	0.412	1.068	1072030.469	6045.625938	2	Roslindale	Roslindale	50	Lower Washington/Mt Hope	0	108	25025110200.0	Roslindale	50337	2.370304	6.352995	110200
108	boston_income_73g.109	1152	513020.608	3125.791	25	25	110401	25025110401	15736	26	1.0	126.77	0.198	0.513	513019.9466	3125.80455	2	Roslindale	Roslindale	50	Lower Washington/Mt Hope	0	109	25025110401.0	Roslindale	44205	3.913929	7.461705	110401
109	boston_income_73g.110	1155	690747.212	3799.374	25	25	110502	25025110502	15749	42	1.0	170.69	0.267	0.691	690747.7578	3799.372242	2	Roslindale	Roslindale	51	Metropolitan Hill/Beech St	0	110	25025110502.0	Roslindale	53970	4.010389	11.76058	110502
110	boston_income_73g.111	1159	2567266.469	7709.067	25	25	120102	25025120102	15765	44	0.9117	578.4	0.904	2.341	2567268.958	7709.076807	7	Jamaica Plain	Jamaica Plain	42	Jamaica Hills/Pond	0	111	25025120102.0	Jamaica Plain	143819	2.415507	17.714472	120102
111	boston_income_73g.112	1163	229711.032	2373.265	25	25	120500	25025120500	15787	20	1.0	56.76	0.089	0.23	229710.5045	2373.270696	7	Jamaica Plain	Jamaica Plain	40	Hyde Square	0	112	25025120500.0	Jamaica Plain	51708	5.112715	9.778821	120500
112	boston_income_73g.113	1164	259099.314	1981.412	25	25	120600	25025120600	15791	15	1.0	64.02	0.1	0.259	259099.2205	1981.40118	7	Jamaica Plain	Jamaica Plain	40	Hyde Square	0	113	25025120600.0	Jamaica Plain	80391	4.561868	12.160481	120600
113	boston_income_73g.114	1167	1363267.963	5443.627	25	25	130200	25025130200	15806	68	1.0	336.87	0.526	1.363	1363264.387	5443.630956	8	West Roxbury	West Roxbury	63	Brook Farm/VFW Parkway	0	114	25025130200.0	West Roxbury	84356	3.511015	16.591129	130200
114	boston_income_73g.121	1125	401245.491	2805.843	25	25	91500	25025091500	15601	22	1.0	99.15	0.155	0.401	401246.086	2805.858959	10	Dorchester	Dorchester	10	Uphams Corner/Jones Hill	0	121	25025091500.0	Dorchester	43559	5.308533	2.033868	091500
115	boston_income_73g.115	1171	2414997.795	6841.174	25	25	140102	25025140102	15830	64	0.9806	585.17	0.914	2.368	2414995.393	6841.187702	9	Hyde Park	Hyde Park	34	Georgetown	0	115	25025140102.0	Hyde Park	61150	2.650282	11.2587	140102
116	boston_income_73g.116	1174	1415320.761	7144.545	25	25	140201	25025140201	15843	35	0.9852	344.57	0.538	1.394	1415319.99	7144.551575	9	Hyde Park	Hyde Park	35	Readville	0	116	25025140201.0	Hyde Park	58947	2.452586	10.601607	140201
117	boston_income_73g.117	1119	1010840.774	5358.558	25	25	90900	25025090900	15576	24	1.0	249.78	0.39	1.011	1010845.738	5358.567065	10	Dorchester	Dorchester	8	Columbia Pt/Savin Hill	0	117	25025090900.0	Dorchester	30247	2.546895	7.920093	090900
118	boston_income_73g.118	1120	1207820.222	8332.045	25	25	91000	25025091000	15578	31	0.9895	295.33	0.461	1.195	1207820.035	8332.062113	10	Dorchester	Dorchester	8	Columbia Pt/Savin Hill	0	118	25025091000.0	Dorchester	65833	2.87587	11.277267	091000
119	boston_income_73g.119	1122	315559.0	2677.412	25	25	91200	25025091200	15589	22	1.0	77.98	0.122	0.316	315558.7173	2677.438026	10	Dorchester	Dorchester	10	Uphams Corner/Jones Hill	0	119	25025091200.0	Dorchester	52681	5.263303	6.056413	091200
120	boston_income_73g.120	1124	325617.45	2567.968	25	25	91400	25025091400	15597	23	1.0	80.46	0.126	0.326	325618.0061	2567.967656	10	Dorchester	Dorchester	10	Uphams Corner/Jones Hill	0	120	25025091400.0	Dorchester	40995	4.478927	5.415059	091400
121	boston_income_73g.122	1127	291585.64	2791.881	25	25	91700	25025091700	15609	17	1.0	72.05	0.113	0.292	291585.4396	2791.881099	10	Dorchester	Dorchester	17	Meeting Housing Hill	0	122	25025091700.0	Dorchester	42218	4.245786	7.081765	091700
122	boston_income_73g.123	1129	473089.387	2943.093	25	25	91900	25025091900	15617	28	1.0	116.9	0.183	0.473	473087.8007	2943.087961	10	Dorchester	Dorchester	12	Bowdoin North/MtBowdoin	0	123	25025091900.0	Dorchester	34358	4.249595	6.648435	091900
123	boston_income_73g.124	1130	489243.57	3585.434	25	25	92000	25025092000	15622	31	1.0	120.89	0.189	0.489	489245.3917	3585.419072	10	Dorchester	Dorchester	16	Fields Corner West	0	124	25025092000.0	Dorchester	41250	4.612267	5.319477	092000
124	boston_income_73g.125	1131	1272241.097	5669.207	25	25	92100	25025092100	15627	75	1.0	314.38	0.491	1.272	1272239.822	5669.216683	10	Dorchester	Dorchester	15	Fields Corner East	0	125	25025092100.0	Dorchester	42899	3.749519	6.301983	092100
125	boston_income_73g.126	1133	343543.386	2429.842	25	25	92300	25025092300	15638	29	1.0	84.89	0.133	0.344	343542.7551	2429.842236	10	Dorchester	Dorchester	13	Codman Sq/East Codman Hill	0	126	25025092300.0	Dorchester	34176	4.350245	8.245972	092300
126	boston_income_73g.127	1135	847202.433	3985.526	25	25	100100	25025100100	15648	40	1.0	209.35	0.327	0.847	847201.3386	3985.53583	1	Mattapan	Mattapan	31	Franklin Field South	0	127	25025100100.0	Mattapan	24717	3.792445	6.076978	100100
127	boston_income_73g.128	1136	362855.951	2795.703	25	25	100200	25025100200	15655	25	1.0	89.66	0.14	0.363	362854.4314	2795.6938	1	Mattapan	Mattapan	31	Franklin Field South	0	128	25025100200.0	Mattapan	36822	4.711089	9.796	100200
128	boston_income_73g.129	1138	616374.568	3668.192	25	25	100400	25025100400	15664	28	1.0	152.31	0.238	0.616	616373.86	3668.196371	10	Dorchester	Dorchester	11	Ashmont	0	129	25025100400.0	Dorchester	45933	4.27086	8.159196	100400
129	boston_income_73g.130	1139	868131.5	4393.078	25	25	100500	25025100500	15669	51	1.0	214.52	0.335	0.868	868134.2761	4393.098141	10	Dorchester	Dorchester	19	St Marks	0	130	25025100500.0	Dorchester	43935	4.061612	6.445579	100500
130	boston_income_73g.131	1141	902862.539	6181.592	25	25	100602	25025100602	15680	46	1.0	223.1	0.349	0.903	902868.6021	6181.615478	10	Dorchester	Dorchester	18	Neponset/Port Norfolk	0	131	25025100602.0	Dorchester	49966	3.110028	12.608821	100602
131	boston_income_73g.132	1142	1221775.899	5442.1	25	25	100700	25025100700	15684	55	0.994	300.1	0.469	1.214	1221772.158	5442.11756	10	Dorchester	Dorchester	14	East Lower Mills/Cedar Grove	0	132	25025100700.0	Dorchester	70033	3.277923	18.208415	100700
132	boston_income_73g.133	1143	1692734.054	7144.711	25	25	100800	25025100800	15690	59	1.0	418.28	0.654	1.693	1692728.536	7144.686524	10	Dorchester	Dorchester	14	East Lower Mills/Cedar Grove	0	133	25025100800.0	Dorchester	50839	3.030841	9.147821	100800
133	boston_income_73g.134	1145	1541102.144	5581.015	25	25	101001	25025101001	15703	62	1.0	380.81	0.595	1.541	1541102.553	5581.02041	1	Mattapan	Mattapan	43	Southern Mattapan	0	134	25025101001.0	Mattapan	55106	3.301906	9.493425	101001
134	boston_income_73g.135	1146	1178034.655	5111.706	25	25	101002	25025101002	15710	43	1.0	291.1	0.455	1.178	1178034.681	5111.714871	1	Mattapan	Mattapan	43	Southern Mattapan	0	135	25025101002.0	Mattapan	40296	3.308314	9.885043	101002
135	boston_income_73g.136	1148	553573.004	4273.487	25	25	101102	25025101102	15718	28	1.0	136.79	0.214	0.554	553572.8926	4273.489753	1	Mattapan	Mattapan	44	Wellington Hill	0	136	25025101102.0	Mattapan	35907	3.712241	8.794492	101102
136	boston_income_73g.137	1149	4985660.252	12248.739	25	25	110100	25025110100	15723	90	0.9927	1222.98	1.911	4.949	4985660.381	12248.72056	7	Jamaica Plain	Jamaica Plain	39	Forest Hills/Woodbourne	0	137	25025110100.0	Jamaica Plain	55000	2.263517	8.765473	110100
137	boston_income_73g.138	1151	789269.365	3972.567	25	25	110300	25025110300	15733	26	1.0	195.03	0.305	0.789	789269.7807	3972.568276	7	Jamaica Plain	Jamaica Plain	39	Forest Hills/Woodbourne	0	138	25025110300.0	Jamaica Plain	87115	3.177739	13.49372	110300
138	boston_income_73g.139	1153	934325.163	4399.224	25	25	110402	25025110402	15739	35	0.9918	228.98	0.358	0.927	934323.1068	4399.213075	2	Roslindale	Roslindale	51	Metropolitan Hill/Beech St	0	139	25025110402.0	Roslindale	61699	3.60202	12.335432	110402
139	boston_income_73g.140	1154	623831.764	3639.198	25	25	110501	25025110501	15745	43	1.0	154.15	0.241	0.624	623831.0802	3639.20327	2	Roslindale	Roslindale	51	Metropolitan Hill/Beech St	0	140	25025110501.0	Roslindale	83487	3.760743	15.07317	110501
140	boston_income_73g.141	1156	1411215.648	5089.873	25	25	110601	25025110601	15753	44	1.0	348.72	0.545	1.411	1411214.257	5089.870382	8	West Roxbury	West Roxbury	63	Brook Farm/VFW Parkway	0	141	25025110601.0	West Roxbury	84038	2.737978	17.351136	110601
141	boston_income_73g.142	1157	1479708.971	5770.02	25	25	110602	25025110602	15756	49	1.0	365.64	0.571	1.48	1479712.085	5770.0175	2	Roslindale	Roslindale	49	Centre South	0	142	25025110602.0	Roslindale	72500	3.179845	16.515283	110602
142	boston_income_73g.143	1158	1316020.878	5365.111	25	25	120101	25025120101	15761	33	0.999	324.86	0.508	1.315	1316016.563	5365.093066	7	Jamaica Plain	Jamaica Plain	42	Jamaica Hills/Pond	0	143	25025120101.0	Jamaica Plain	68910	2.426327	12.137554	120101
143	boston_income_73g.144	1160	699872.189	3713.262	25	25	120200	25025120200	15771	28	1.0	172.94	0.27	0.7	699867.4706	3713.263672	7	Jamaica Plain	Jamaica Plain	41	Jamaica Central/South/Sumner	0	144	25025120200.0	Jamaica Plain	55000	3.415693	10.817836	120200
144	boston_income_73g.145	1161	579309.652	3291.768	25	25	120300	25025120300	15775	37	1.0	143.15	0.224	0.579	579308.5606	3291.764594	7	Jamaica Plain	Jamaica Plain	38	Egleston Square	0	145	25025120300.0	Jamaica Plain	58447	4.587932	8.250474	120300
145	boston_income_73g.146	1162	1019136.615	5565.516	25	25	120400	25025120400	15781	59	1.0	251.83	0.393	1.019	1019136.769	5565.506681	7	Jamaica Plain	Jamaica Plain	41	Jamaica Central/South/Sumner	0	146	25025120400.0	Jamaica Plain	77969	4.480417	10.90844	120400
146	boston_income_73g.147	1165	367166.712	3812.926	25	25	120700	25025120700	15795	9	0.987	89.55	0.14	0.362	367165.9897	3812.91504	7	Jamaica Plain	Jamaica Plain	42	Jamaica Hills/Pond	0	147	25025120700.0	Jamaica Plain	54679	3.393337	10.543404	120700
147	boston_income_73g.148	1166	4417059.236	10618.264	25	25	130100	25025130100	15798	99	1.0	1091.48	1.705	4.417	4417057.72	10618.27259	8	West Roxbury	West Roxbury	63	Brook Farm/VFW Parkway	0	148	25025130100.0	West Roxbury	71818	2.329086	15.59941	130100
148	boston_income_73g.149	1168	1566302.095	5457.196	25	25	130300	25025130300	15812	83	1.0	387.04	0.605	1.566	1566301.764	5457.187637	8	West Roxbury	West Roxbury	62	Bellevue Hill	0	149	25025130300.0	West Roxbury	93229	3.341745	17.225778	130300
149	boston_income_73g.150	1169	3220195.43	8883.915	25	25	130401	25025130401	15818	65	0.9927	789.89	1.234	3.197	3220199.16	8883.910732	8	West Roxbury	West Roxbury	64	Upper Washington/Spring St	0	150	25025130401.0	West Roxbury	47484	2.636581	10.799013	130401
150	boston_income_73g.151	1170	2222486.472	8054.903	25	25	130402	25025130402	15824	88	0.954	523.91	0.819	2.12	2222486.753	8054.90452	8	West Roxbury	West Roxbury	64	Upper Washington/Spring St	0	151	25025130402.0	West Roxbury	71798	2.869577	13.612589	130402
151	boston_income_73g.152	1172	959405.197	4029.722	25	25	140103	25025140103	15835	36	1.0	237.07	0.37	0.959	959408.1776	4029.730773	9	Hyde Park	Hyde Park	37	West St/River St	0	152	25025140103.0	Hyde Park	64671	3.132129	12.421247	140103
152	boston_income_73g.153	1173	2942355.995	7931.729	25	25	140104	25025140104	15838	44	0.9934	722.26	1.129	2.923	2942351.313	7931.750461	2	Roslindale	Roslindale	51	Metropolitan Hill/Beech St	0	153	25025140104.0	Roslindale	43395	2.275856	11.318467	140104
153	boston_income_73g.154	1175	1572869.063	5697.452	25	25	140202	25025140202	15846	64	1.0	388.66	0.607	1.573	1572870.408	5697.429349	9	Hyde Park	Hyde Park	33	Fairmount Hills	0	154	25025140202.0	Hyde Park	59951	3.098308	11.24339	140202
154	boston_income_73g.155	1176	1575282.651	7371.836	25	25	140300	25025140300	15852	92	1.0	389.26	0.608	1.575	1575285.837	7371.853437	9	Hyde Park	Hyde Park	36	Stoney Brook/Cleary Square	0	155	25025140300.0	Hyde Park	38482	3.51423	9.56277	140300
155	boston_income_73g.156	1177	1878088.536	8340.682	25	25	140400	25025140400	15859	74	1.0	464.09	0.725	1.878	1878088.603	8340.695552	9	Hyde Park	Hyde Park	37	West St/River St	0	156	25025140400.0	Hyde Park	53505	3.240264	12.281224	140400
